"tz-as","Arusha"
"tz-do","Dodoma"
"tz-ds","Dar Es Salaam"
"tz-ge","Geita"
"tz-ir","Iringa"
"tz-ka","Katavi"
"tz-kl","Kilimanjaro"
"tz-km","Kigoma"
"tz-kr","Kagera"
"tz-li","Lindi"
"tz-ma","Mara"
"tz-mb","Mbeya"
"tz-mb","Songwe"
"tz-mo","Morogoro"
"tz-mt","Mtwara"
"tz-mw","Mwanza"
"tz-my","Manyara"
"tz-nj","Njombe"
"tz-pn","Pemba North"
"tz-ps","Pemba South"
"tz-pw","Pwani"
"tz-rk","Rukwa"
"tz-rv","Ruvuma"
"tz-sd","Singida"
"tz-sh","Shinyanga"
"tz-si","Simiyu"
"tz-tb","Tabora"
"tz-tn","Tanga"
"tz-zn","Zanzibar North"
"tz-zs","Zanzibar South and Central"
"tz-zw","Zanzibar West"
